,assessment_get,assessment_put,assistance_get,assistance_payout,assistance_put,assistance_request,claim_get,claim_payout,claim_put,gave_up_home_search,gave_up_money_search,home_get,home_put,home_search_start,home_search_stop,inspection_get,inspection_put,insurance,latitude,loan_amount,loan_get,loan_put,longitude,money_search_start,money_search_stop,money_to_rebuild,name,permit_get,permit_put,savings,story
0,189.0,32.0,32.0,20550.0,12.0,20550.0,,0.0,,False,False,314.0,284.0,,,12.0,0.0,0.0,46.681843,0.0,,,-123.745067,12.0,32.0,24004.02630799558,ROMA TOMLINSON,284.0,189.0,3454.02630799558,"['Roma Tomlinson lives in a 5 bedroom Mobile Home at None worth $54,800. ', ""Roma Tomlinson's house was inspected 12 days after the event and suffered $20,550 of damage. "", 'Roma Tomlinson submitted a request to FEMA 12 days after the event. ', 'Roma Tomlinson received $20,550 from FEMA 32 days after the event. ', 'It took Roma Tomlinson 20 days to receive enough financial assistance and now has $24,004 to rebuild. ', 'Roma Tomlinson received an engineering assessment 189 days after the event. ', 'Roma Tomlinson received permit approval 284 days after the event. ', ""Roma Tomlinson's home was repaired 314 days after the event, taking 30 days to repair. ""]"
1,189.0,32.0,32.0,43387.5,12.0,43387.5,,0.0,,False,False,314.0,284.0,,,12.0,0.0,0.0,46.458068,0.0,,,-124.053758,12.0,32.0,47822.708963750396,SHERRI ORTEGA,284.0,189.0,4435.2089637504,"['Sherri Ortega lives in a 5 bedroom Mobile Home at None worth $115,700. ', ""Sherri Ortega's house was inspected 12 days after the event and suffered $43,388 of damage. "", 'Sherri Ortega submitted a request to FEMA 12 days after the event. ', 'Sherri Ortega received $43,388 from FEMA 32 days after the event. ', 'It took Sherri Ortega 20 days to receive enough financial assistance and now has $47,823 to rebuild. ', 'Sherri Ortega received an engineering assessment 189 days after the event. ', 'Sherri Ortega received permit approval 284 days after the event. ', ""Sherri Ortega's home was repaired 314 days after the event, taking 30 days to repair. ""]"
2,190.0,32.0,32.0,12487.5,12.0,12487.5,,0.0,,False,False,315.0,285.0,,,12.0,0.0,0.0,46.46837,0.0,,,-124.047167,12.0,32.0,15253.91820186401,VALDA DEATON,285.0,190.0,2766.41820186401,"['Valda Deaton lives in a 5 bedroom Mobile Home at None worth $33,300. ', ""Valda Deaton's house was inspected 12 days after the event and suffered $12,488 of damage. "", 'Valda Deaton submitted a request to FEMA 12 days after the event. ', 'Valda Deaton received $12,488 from FEMA 32 days after the event. ', 'It took Valda Deaton 20 days to receive enough financial assistance and now has $15,254 to rebuild. ', 'Valda Deaton received an engineering assessment 190 days after the event. ', 'Valda Deaton received permit approval 285 days after the event. ', ""Valda Deaton's home was repaired 315 days after the event, taking 30 days to repair. ""]"
3,37.0,12.0,,0.0,,0.0,,0.0,,False,False,74.0,72.0,,,12.0,0.0,0.0,46.265831,0.0,,,-123.937752,12.0,,4379.71613842244,GENEVIEVE BENSON,72.0,37.0,4379.71613842244,"['Genevieve Benson lives in a 5 bedroom Single Family Dwelling at None worth $109,300. ', ""Genevieve Benson's house was inspected 12 days after the event and suffered $2,186 of damage. "", 'Genevieve Benson already had enough money to rebuild (1:,.0f) and did not seek assistance. ', 'Genevieve Benson received an engineering assessment 37 days after the event. ', 'Genevieve Benson received permit approval 72 days after the event. ', ""Genevieve Benson's home was repaired 74 days after the event, taking 2 days to repair. ""]"
4,37.0,12.0,,0.0,,0.0,,0.0,,False,False,74.0,72.0,,,12.0,0.0,0.0,46.466874,0.0,,,-124.055617,12.0,,2909.03235523551,VIOLETTE REDDING,72.0,37.0,2909.03235523551,"['Violette Redding lives in a 4 bedroom Single Family Dwelling at None worth $37,300. ', ""Violette Redding's house was inspected 12 days after the event and suffered $746 of damage. "", 'Violette Redding already had enough money to rebuild (1:,.0f) and did not seek assistance. ', 'Violette Redding received an engineering assessment 37 days after the event. ', 'Violette Redding received permit approval 72 days after the event. ', ""Violette Redding's home was repaired 74 days after the event, taking 2 days to repair. ""]"
5,190.0,32.0,32.0,22162.5,12.0,22162.5,,0.0,,False,False,315.0,285.0,,,12.0,0.0,0.0,46.448682,0.0,,,-124.046185,12.0,32.0,25729.02968159545,LARISSA SHIRLEY,285.0,190.0,3566.52968159545,"['Larissa Shirley lives in a 3 bedroom Mobile Home at None worth $59,100. ', ""Larissa Shirley's house was inspected 12 days after the event and suffered $22,162 of damage. "", 'Larissa Shirley submitted a request to FEMA 12 days after the event. ', 'Larissa Shirley received $22,162 from FEMA 32 days after the event. ', 'It took Larissa Shirley 20 days to receive enough financial assistance and now has $25,729 to rebuild. ', 'Larissa Shirley received an engineering assessment 190 days after the event. ', 'Larissa Shirley received permit approval 285 days after the event. ', ""Larissa Shirley's home was repaired 315 days after the event, taking 30 days to repair. ""]"
6,190.0,32.0,32.0,17325.0,12.0,17325.0,,0.0,,False,False,315.0,285.0,,,12.0,0.0,0.0,46.450658,0.0,,,-124.037021,12.0,32.0,20540.50940758153,SHIRLEE HANLEY,285.0,190.0,3215.50940758153,"['Shirlee Hanley lives in a 3 bedroom Mobile Home at None worth $46,200. ', ""Shirlee Hanley's house was inspected 12 days after the event and suffered $17,325 of damage. "", 'Shirlee Hanley submitted a request to FEMA 12 days after the event. ', 'Shirlee Hanley received $17,325 from FEMA 32 days after the event. ', 'It took Shirlee Hanley 20 days to receive enough financial assistance and now has $20,541 to rebuild. ', 'Shirlee Hanley received an engineering assessment 190 days after the event. ', 'Shirlee Hanley received permit approval 285 days after the event. ', ""Shirlee Hanley's home was repaired 315 days after the event, taking 30 days to repair. ""]"
7,190.0,32.0,32.0,23625.0,12.0,23625.0,,0.0,,False,False,315.0,285.0,,,12.0,0.0,0.0,46.362529,0.0,,,-124.053022,12.0,32.0,27281.39683291998,GERI DALY,285.0,190.0,3656.39683291998,"['Geri Daly lives in a 5 bedroom Mobile Home at None worth $63,000. ', ""Geri Daly's house was inspected 12 days after the event and suffered $23,625 of damage. "", 'Geri Daly submitted a request to FEMA 12 days after the event. ', 'Geri Daly received $23,625 from FEMA 32 days after the event. ', 'It took Geri Daly 20 days to receive enough financial assistance and now has $27,281 to rebuild. ', 'Geri Daly received an engineering assessment 190 days after the event. ', 'Geri Daly received permit approval 285 days after the event. ', ""Geri Daly's home was repaired 315 days after the event, taking 30 days to repair. ""]"
8,162.0,27.0,,0.0,,0.0,27.0,3896.0,12.0,False,False,249.0,247.0,,,12.0,0.0,194800.0,46.373808,0.0,,,-124.057962,12.0,27.0,8877.37783867022,NORMA RUSSELL,247.0,162.0,4981.37783867022,"['Norma Russell lives in a 2 bedroom Mobile Home at None worth $194,800. ', ""Norma Russell's house was inspected 12 days after the event and suffered $3,896 of damage. "", 'Norma Russell submitted an insurance claim 12 days after the event. ', 'Norma Russell received a $3,896 insurance payout 27 days after the event. ', 'It took Norma Russell 15 days to receive enough financial assistance and now has $8,877 to rebuild. ', 'Norma Russell received an engineering assessment 162 days after the event. ', 'Norma Russell received permit approval 247 days after the event. ', ""Norma Russell's home was repaired 249 days after the event, taking 2 days to repair. ""]"
9,190.0,32.0,32.0,4060.0,12.0,4060.0,,0.0,,False,False,295.0,285.0,,,12.0,0.0,0.0,46.750059,0.0,,,-123.767415,12.0,32.0,7097.32941987679,ALENA STALLINGS,285.0,190.0,3037.32941987679,"['Alena Stallings lives in a 4 bedroom Mobile Home at None worth $40,600. ', ""Alena Stallings's house was inspected 12 days after the event and suffered $4,060 of damage. "", 'Alena Stallings submitted a request to FEMA 12 days after the event. ', 'Alena Stallings received $4,060 from FEMA 32 days after the event. ', 'It took Alena Stallings 20 days to receive enough financial assistance and now has $7,097 to rebuild. ', 'Alena Stallings received an engineering assessment 190 days after the event. ', 'Alena Stallings received permit approval 285 days after the event. ', ""Alena Stallings's home was repaired 295 days after the event, taking 10 days to repair. ""]"
